UKPRN,HE Provider,Country of HE provider,Region of HE provider,Academic Year,Source of public funding,Type of income,Unit,Value
10007143,University of Durham,England,North East,2015/16,All,Public funding,£000s,4138.0
10007143,University of Durham,England,North East,2015/16,All,Collaborative contribution - Cash,£000s,422.0
10007143,University of Durham,England,North East,2015/16,All,Collaborative contribution - In kind,£000s,828.0
10007143,University of Durham,England,North East,2015/16,All,Total,£000s,5388.0
10007143,University of Durham,England,North East,2015/16,All,Previous year's total,£000s,5923.0
10007143,University of Durham,England,North East,2015/16,BEIS Research Councils,Public funding,£000s,1497.0
10007143,University of Durham,England,North East,2015/16,BEIS Research Councils,Collaborative contribution - Cash,£000s,188.0
10007143,University of Durham,England,North East,2015/16,BEIS Research Councils,Collaborative contribution - In kind,£000s,172.0
10007143,University of Durham,England,North East,2015/16,BEIS Research Councils,Total,£000s,1857.0
10007143,University of Durham,England,North East,2015/16,BEIS Research Councils,Previous year's total,£000s,2185.0
10007143,University of Durham,England,North East,2015/16,EU government,Public funding,£000s,2188.0
10007143,University of Durham,England,North East,2015/16,EU government,Collaborative contribution - Cash,£000s,9.0
10007143,University of Durham,England,North East,2015/16,EU government,Collaborative contribution - In kind,£000s,228.0
10007143,University of Durham,England,North East,2015/16,EU government,Total,£000s,2425.0
10007143,University of Durham,England,North East,2015/16,EU government,Previous year's total,£000s,2525.0
10007143,University of Durham,England,North East,2015/16,Other,Public funding,£000s,0.0
10007143,University of Durham,England,North East,2015/16,Other,Collaborative contribution - Cash,£000s,0.0
10007143,University of Durham,England,North East,2015/16,Other,Collaborative contribution - In kind,£000s,0.0
10007143,University of Durham,England,North East,2015/16,Other,Total,£000s,0.0
10007143,University of Durham,England,North East,2015/16,Other,Previous year's total,£000s,0.0
10007143,University of Durham,England,North East,2015/16,Other UK government departments,Public funding,£000s,453.0
10007143,University of Durham,England,North East,2015/16,Other UK government departments,Collaborative contribution - Cash,£000s,225.0
10007143,University of Durham,England,North East,2015/16,Other UK government departments,Collaborative contribution - In kind,£000s,428.0
10007143,University of Durham,England,North East,2015/16,Other UK government departments,Total,£000s,1106.0
10007143,University of Durham,England,North East,2015/16,Other UK government departments,Previous year's total,£000s,1213.0
10007143,University of Durham,England,North East,2016/17,All,Public funding,£000s,5273.0
10007143,University of Durham,England,North East,2016/17,All,Collaborative contribution - Cash,£000s,550.0
10007143,University of Durham,England,North East,2016/17,All,Collaborative contribution - In kind,£000s,780.0
10007143,University of Durham,England,North East,2016/17,All,Total,£000s,6603.0
10007143,University of Durham,England,North East,2016/17,All,Previous year's total,£000s,5388.0
10007143,University of Durham,England,North East,2016/17,BEIS Research Councils,Public funding,£000s,2365.0
10007143,University of Durham,England,North East,2016/17,BEIS Research Councils,Collaborative contribution - Cash,£000s,118.0
10007143,University of Durham,England,North East,2016/17,BEIS Research Councils,Collaborative contribution - In kind,£000s,616.0
10007143,University of Durham,England,North East,2016/17,BEIS Research Councils,Total,£000s,3099.0
10007143,University of Durham,England,North East,2016/17,BEIS Research Councils,Previous year's total,£000s,1857.0
10007143,University of Durham,England,North East,2016/17,EU government,Public funding,£000s,2023.0
10007143,University of Durham,England,North East,2016/17,EU government,Collaborative contribution - Cash,£000s,0.0
10007143,University of Durham,England,North East,2016/17,EU government,Collaborative contribution - In kind,£000s,63.0
10007143,University of Durham,England,North East,2016/17,EU government,Total,£000s,2086.0
10007143,University of Durham,England,North East,2016/17,EU government,Previous year's total,£000s,2425.0
10007143,University of Durham,England,North East,2016/17,Other,Public funding,£000s,303.0
10007143,University of Durham,England,North East,2016/17,Other,Collaborative contribution - Cash,£000s,166.0
10007143,University of Durham,England,North East,2016/17,Other,Collaborative contribution - In kind,£000s,7.0
10007143,University of Durham,England,North East,2016/17,Other,Total,£000s,476.0
10007143,University of Durham,England,North East,2016/17,Other,Previous year's total,£000s,0.0
10007143,University of Durham,England,North East,2016/17,Other UK government departments,Public funding,£000s,582.0
10007143,University of Durham,England,North East,2016/17,Other UK government departments,Collaborative contribution - Cash,£000s,266.0
10007143,University of Durham,England,North East,2016/17,Other UK government departments,Collaborative contribution - In kind,£000s,94.0
10007143,University of Durham,England,North East,2016/17,Other UK government departments,Total,£000s,942.0
10007143,University of Durham,England,North East,2016/17,Other UK government departments,Previous year's total,£000s,1106.0
10007143,University of Durham,England,North East,2017/18,All,Public funding,£000s,9800.0
10007143,University of Durham,England,North East,2017/18,All,Collaborative contribution - Cash,£000s,897.0
10007143,University of Durham,England,North East,2017/18,All,Collaborative contribution - In kind,£000s,1773.0
10007143,University of Durham,England,North East,2017/18,All,Total,£000s,12470.0
10007143,University of Durham,England,North East,2017/18,All,Previous year's total,£000s,11102.0
10007143,University of Durham,England,North East,2017/18,BEIS Research Councils,Public funding,£000s,5855.0
10007143,University of Durham,England,North East,2017/18,BEIS Research Councils,Collaborative contribution - Cash,£000s,694.0
10007143,University of Durham,England,North East,2017/18,BEIS Research Councils,Collaborative contribution - In kind,£000s,1590.0
10007143,University of Durham,England,North East,2017/18,BEIS Research Councils,Total,£000s,8139.0
10007143,University of Durham,England,North East,2017/18,BEIS Research Councils,Previous year's total,£000s,6424.0
10007143,University of Durham,England,North East,2017/18,EU government,Public funding,£000s,3214.0
10007143,University of Durham,England,North East,2017/18,EU government,Collaborative contribution - Cash,£000s,0.0
10007143,University of Durham,England,North East,2017/18,EU government,Collaborative contribution - In kind,£000s,182.0
10007143,University of Durham,England,North East,2017/18,EU government,Total,£000s,3396.0
10007143,University of Durham,England,North East,2017/18,EU government,Previous year's total,£000s,3385.0
10007143,University of Durham,England,North East,2017/18,Other,Public funding,£000s,116.0
10007143,University of Durham,England,North East,2017/18,Other,Collaborative contribution - Cash,£000s,9.0
10007143,University of Durham,England,North East,2017/18,Other,Collaborative contribution - In kind,£000s,1.0
10007143,University of Durham,England,North East,2017/18,Other,Total,£000s,126.0
10007143,University of Durham,England,North East,2017/18,Other,Previous year's total,£000s,196.0
10007143,University of Durham,England,North East,2017/18,Other UK government departments,Public funding,£000s,615.0
10007143,University of Durham,England,North East,2017/18,Other UK government departments,Collaborative contribution - Cash,£000s,194.0
10007143,University of Durham,England,North East,2017/18,Other UK government departments,Collaborative contribution - In kind,£000s,0.0
10007143,University of Durham,England,North East,2017/18,Other UK government departments,Total,£000s,809.0
10007143,University of Durham,England,North East,2017/18,Other UK government departments,Previous year's total,£000s,1097.0
10007143,University of Durham,England,North East,2018/19,All,Public funding,£000s,9876.0
10007143,University of Durham,England,North East,2018/19,All,Collaborative contribution - Cash,£000s,435.0
10007143,University of Durham,England,North East,2018/19,All,Collaborative contribution - In kind,£000s,2747.0
10007143,University of Durham,England,North East,2018/19,All,Total,£000s,13058.0
10007143,University of Durham,England,North East,2018/19,All,Previous year's total,£000s,12470.0
10007143,University of Durham,England,North East,2018/19,EU government,Public funding,£000s,2837.0
10007143,University of Durham,England,North East,2018/19,EU government,Collaborative contribution - Cash,£000s,0.0
10007143,University of Durham,England,North East,2018/19,EU government,Collaborative contribution - In kind,£000s,112.0
10007143,University of Durham,England,North East,2018/19,EU government,Total,£000s,2949.0
10007143,University of Durham,England,North East,2018/19,EU government,Previous year's total,£000s,3396.0
10007143,University of Durham,England,North East,2018/19,Other,Public funding,£000s,274.0
10007143,University of Durham,England,North East,2018/19,Other,Collaborative contribution - Cash,£000s,10.0
10007143,University of Durham,England,North East,2018/19,Other,Collaborative contribution - In kind,£000s,10.0
10007143,University of Durham,England,North East,2018/19,Other,Total,£000s,294.0
10007143,University of Durham,England,North East,2018/19,Other,Previous year's total,£000s,126.0
10007143,University of Durham,England,North East,2018/19,Other UK government departments,Public funding,£000s,597.0
10007143,University of Durham,England,North East,2018/19,Other UK government departments,Collaborative contribution - Cash,£000s,4.0
10007143,University of Durham,England,North East,2018/19,Other UK government departments,Collaborative contribution - In kind,£000s,348.0
10007143,University of Durham,England,North East,2018/19,Other UK government departments,Total,£000s,949.0
10007143,University of Durham,England,North East,2018/19,Other UK government departments,Previous year's total,£000s,809.0
10007143,University of Durham,England,North East,2018/19,"UKRI (except Research England), Royal Society and British Academy",Public funding,£000s,6168.0
10007143,University of Durham,England,North East,2018/19,"UKRI (except Research England), Royal Society and British Academy",Collaborative contribution - Cash,£000s,421.0
10007143,University of Durham,England,North East,2018/19,"UKRI (except Research England), Royal Society and British Academy",Collaborative contribution - In kind,£000s,2277.0
10007143,University of Durham,England,North East,2018/19,"UKRI (except Research England), Royal Society and British Academy",Total,£000s,8866.0
10007143,University of Durham,England,North East,2018/19,"UKRI (except Research England), Royal Society and British Academy",Previous year's total,£000s,8139.0
10007143,University of Durham,England,North East,2019/20,All,Public funding,£000s,13057.0
10007143,University of Durham,England,North East,2019/20,All,Collaborative contribution - Cash,£000s,762.0
10007143,University of Durham,England,North East,2019/20,All,Collaborative contribution - In kind,£000s,3664.0
10007143,University of Durham,England,North East,2019/20,All,Total,£000s,17483.0
10007143,University of Durham,England,North East,2019/20,All,Previous year's total,£000s,13058.0
10007143,University of Durham,England,North East,2019/20,EU government,Public funding,£000s,2079.0
