UKPRN,HE Provider,Country of HE provider,Region of HE provider,Academic Year,Type of service,Type of organisation,Number/Value Marker,Unit,Number/Value
10007143,University of Durham,England,North East,2014/15,Consultancy,SME's,Number,£000s,184.0
10007143,University of Durham,England,North East,2014/15,Consultancy,Other (non-SME) commercial businesses,Number,£000s,304.0
10007143,University of Durham,England,North East,2014/15,Consultancy,Non-commercial organisations,Number,£000s,11370.0
10007143,University of Durham,England,North East,2014/15,Consultancy,Total,Number,£000s,11858.0
10007143,University of Durham,England,North East,2014/15,Consultancy,SME's,Value,£000s,681.0
10007143,University of Durham,England,North East,2014/15,Consultancy,Other (non-SME) commercial businesses,Value,£000s,1387.0
10007143,University of Durham,England,North East,2014/15,Consultancy,Non-commercial organisations,Value,£000s,5767.0
10007143,University of Durham,England,North East,2014/15,Consultancy,Total,Value,£000s,7835.0
10007143,University of Durham,England,North East,2014/15,Contract research,SME's,Number,£000s,25.0
10007143,University of Durham,England,North East,2014/15,Contract research,Other (non-SME) commercial businesses,Number,£000s,160.0
10007143,University of Durham,England,North East,2014/15,Contract research,Non-commercial organisations,Number,£000s,170.0
10007143,University of Durham,England,North East,2014/15,Contract research,Total,Number,£000s,355.0
10007143,University of Durham,England,North East,2014/15,Contract research,SME's,Value,£000s,410.0
10007143,University of Durham,England,North East,2014/15,Contract research,Other (non-SME) commercial businesses,Value,£000s,3629.0
10007143,University of Durham,England,North East,2014/15,Contract research,Non-commercial organisations,Value,£000s,4207.0
10007143,University of Durham,England,North East,2014/15,Contract research,Total,Value,£000s,8246.0
10007143,University of Durham,England,North East,2014/15,Facilities and equipment related,SME's,Number,£000s,81.0
10007143,University of Durham,England,North East,2014/15,Facilities and equipment related,Other (non-SME) commercial businesses,Number,£000s,95.0
10007143,University of Durham,England,North East,2014/15,Facilities and equipment related,Non-commercial organisations,Number,£000s,15.0
10007143,University of Durham,England,North East,2014/15,Facilities and equipment related,Total,Number,£000s,191.0
10007143,University of Durham,England,North East,2014/15,Facilities and equipment related,SME's,Value,£000s,232.0
10007143,University of Durham,England,North East,2014/15,Facilities and equipment related,Other (non-SME) commercial businesses,Value,£000s,441.0
10007143,University of Durham,England,North East,2014/15,Facilities and equipment related,Non-commercial organisations,Value,£000s,79.0
10007143,University of Durham,England,North East,2014/15,Facilities and equipment related,Total,Value,£000s,752.0
10007143,University of Durham,England,North East,2015/16,Consultancy,SME's,Number,£000s,177.0
10007143,University of Durham,England,North East,2015/16,Consultancy,Other (non-SME) commercial businesses,Number,£000s,242.0
10007143,University of Durham,England,North East,2015/16,Consultancy,Non-commercial organisations,Number,£000s,17368.0
10007143,University of Durham,England,North East,2015/16,Consultancy,Total,Number,£000s,17787.0
10007143,University of Durham,England,North East,2015/16,Consultancy,SME's,Value,£000s,564.0
