UKPRN,HE Provider,Country of HE provider,Region of HE provider,Academic Year,Category Marker,Unit,Value
10007143,University of Durham,England,North East,2014/15,SME,£000s,5.0
10007143,University of Durham,England,North East,2014/15,Other (non-SME) commercial businesses,£000s,0.0
10007143,University of Durham,England,North East,2014/15,Non-commercial organisations,£000s,423.0
10007143,University of Durham,England,North East,2014/15,CE and CPD for individuals,£000s,191.0
10007143,University of Durham,England,North East,2014/15,Total revenue,£000s,619.0
10007143,University of Durham,England,North East,2014/15,Total learner days of CPD/CE courses delivered,Days,5840.0
10007143,University of Durham,England,North East,2015/16,SME,£000s,2.0
10007143,University of Durham,England,North East,2015/16,Other (non-SME) commercial businesses,£000s,122.0
10007143,University of Durham,England,North East,2015/16,Non-commercial organisations,£000s,342.0
10007143,University of Durham,England,North East,2015/16,CE and CPD for individuals,£000s,260.0
10007143,University of Durham,England,North East,2015/16,Total revenue,£000s,726.0
10007143,University of Durham,England,North East,2015/16,Total learner days of CPD/CE courses delivered,Days,4388.0
10007143,University of Durham,England,North East,2016/17,SME,£000s,8.0
10007143,University of Durham,England,North East,2016/17,Other (non-SME) commercial businesses,£000s,4.0
10007143,University of Durham,England,North East,2016/17,Non-commercial organisations,£000s,684.0
10007143,University of Durham,England,North East,2016/17,CE and CPD for individuals,£000s,455.0
10007143,University of Durham,England,North East,2016/17,Total revenue,£000s,1151.0
10007143,University of Durham,England,North East,2016/17,Total learner days of CPD/CE courses delivered,Days,9457.0
10007143,University of Durham,England,North East,2017/18,SME,£000s,0.0
10007143,University of Durham,England,North East,2017/18,Other (non-SME) commercial businesses,£000s,0.0
10007143,University of Durham,England,North East,2017/18,Non-commercial organisations,£000s,521.0
10007143,University of Durham,England,North East,2017/18,CE and CPD for individuals,£000s,22.0
10007143,University of Durham,England,North East,2017/18,Total revenue,£000s,543.0
10007143,University of Durham,England,North East,2017/18,Total learner days of CPD/CE courses delivered,Days,9544.0
10007143,University of Durham,England,North East,2018/19,SME,£000s,0.0
10007143,University of Durham,England,North East,2018/19,Other (non-SME) commercial businesses,£000s,703.0
10007143,University of Durham,England,North East,2018/19,Non-commercial organisations,£000s,222.0
10007143,University of Durham,England,North East,2018/19,CE and CPD for individuals,£000s,300.0
10007143,University of Durham,England,North East,2018/19,Total revenue,£000s,1225.0
10007143,University of Durham,England,North East,2018/19,Total learner days of CPD/CE courses delivered,Days,15834.0
10007143,University of Durham,England,North East,2019/20,SME,£000s,40.0
10007143,University of Durham,England,North East,2019/20,Other (non-SME) commercial businesses,£000s,199.0
10007143,University of Durham,England,North East,2019/20,Non-commercial organisations,£000s,214.0
10007143,University of Durham,England,North East,2019/20,CE and CPD for individuals,£000s,237.0
10007143,University of Durham,England,North East,2019/20,Total revenue,£000s,690.0
10007143,University of Durham,England,North East,2019/20,Total learner days of CPD/CE courses delivered,Days,19770.0
10007143,University of Durham,England,North East,2020/21,SME,£000s,0.0
10007143,University of Durham,England,North East,2020/21,Other (non-SME) commercial businesses,£000s,0.0
10007143,University of Durham,England,North East,2020/21,Non-commercial organisations,£000s,671.0
10007143,University of Durham,England,North East,2020/21,CE and CPD for individuals,£000s,153.0
10007143,University of Durham,England,North East,2020/21,Total revenue,£000s,824.0
10007143,University of Durham,England,North East,2020/21,Total learner days of CPD/CE courses delivered,Days,6140.0
10007143,University of Durham,England,North East,2021/22,SME,£000s,0.0
10007143,University of Durham,England,North East,2021/22,Other (non-SME) commercial businesses,£000s,26.0
10007143,University of Durham,England,North East,2021/22,Non-commercial organisations,£000s,245.0
10007143,University of Durham,England,North East,2021/22,CE and CPD for individuals,£000s,151.0
10007143,University of Durham,England,North East,2021/22,Total revenue,£000s,422.0
10007143,University of Durham,England,North East,2021/22,Total learner days of CPD/CE courses delivered,Days,9491.0
10007143,University of Durham,England,North East,2022/23,SME,£000s,1.0
10007143,University of Durham,England,North East,2022/23,Other (non-SME) commercial businesses,£000s,162.0
10007143,University of Durham,England,North East,2022/23,Non-commercial organisations,£000s,475.0
10007143,University of Durham,England,North East,2022/23,CE and CPD for individuals,£000s,342.0
10007143,University of Durham,England,North East,2022/23,Total revenue,£000s,980.0
10007143,University of Durham,England,North East,2022/23,Total learner days of CPD/CE courses delivered,Days,9965.0
10007143,University of Durham,England,North East,2023/24,SME,£000s,0.0
10007143,University of Durham,England,North East,2023/24,Other (non-SME) commercial businesses,£000s,305.0
10007143,University of Durham,England,North East,2023/24,Non-commercial organisations,£000s,629.0
10007143,University of Durham,England,North East,2023/24,CE and CPD for individuals,£000s,243.0
10007143,University of Durham,England,North East,2023/24,Total revenue,£000s,1177.0
10007143,University of Durham,England,North East,2023/24,Total learner days of CPD/CE courses delivered,Days,7761.0
10007799,Newcastle University,England,North East,2014/15,SME,£000s,6.0
10007799,Newcastle University,England,North East,2014/15,Other (non-SME) commercial businesses,£000s,200.0
