UKPRN,HE Provider,Country of HE provider,Region of HE provider,Academic Year,Type of licence granted,Type of organisation,Value
10007143,University of Durham,England,North East,2014/15,Non-software,SMEs,20
10007143,University of Durham,England,North East,2014/15,Non-software,Other (non-SME) commercial businesses,22
10007143,University of Durham,England,North East,2014/15,Non-software,Non-commercial organisations,5
10007143,University of Durham,England,North East,2014/15,Non-software,Total number - Subtotal overseas,17
10007143,University of Durham,England,North East,2014/15,Non-software,Total number generating income in the period,5
10007143,University of Durham,England,North East,2014/15,Non-software,Total number generating income in the period - Subtotal overseas,0
10007143,University of Durham,England,North East,2014/15,Non-software,Total number,47
10007143,University of Durham,England,North East,2014/15,Software only,SMEs,3
10007143,University of Durham,England,North East,2014/15,Software only,Other (non-SME) commercial businesses,0
10007143,University of Durham,England,North East,2014/15,Software only,Non-commercial organisations,1
10007143,University of Durham,England,North East,2014/15,Software only,Total number - Subtotal overseas,3
10007143,University of Durham,England,North East,2014/15,Software only,Total number generating income in the period,0
10007143,University of Durham,England,North East,2014/15,Software only,Total number generating income in the period - Subtotal overseas,0
10007143,University of Durham,England,North East,2014/15,Software only,Total number,4
10007143,University of Durham,England,North East,2015/16,Non-software,SMEs,22
10007143,University of Durham,England,North East,2015/16,Non-software,Other (non-SME) commercial businesses,22
10007143,University of Durham,England,North East,2015/16,Non-software,Non-commercial organisations,13
10007143,University of Durham,England,North East,2015/16,Non-software,Total number - Subtotal overseas,19
10007143,University of Durham,England,North East,2015/16,Non-software,Total number generating income in the period,8
10007143,University of Durham,England,North East,2015/16,Non-software,Total number generating income in the period - Subtotal overseas,0
10007143,University of Durham,England,North East,2015/16,Non-software,Total number,57
10007143,University of Durham,England,North East,2015/16,Software only,SMEs,5
10007143,University of Durham,England,North East,2015/16,Software only,Other (non-SME) commercial businesses,6
10007143,University of Durham,England,North East,2015/16,Software only,Non-commercial organisations,1
10007143,University of Durham,England,North East,2015/16,Software only,Total number - Subtotal overseas,5
10007143,University of Durham,England,North East,2015/16,Software only,Total number generating income in the period,0
10007143,University of Durham,England,North East,2015/16,Software only,Total number generating income in the period - Subtotal overseas,0
10007143,University of Durham,England,North East,2015/16,Software only,Total number,12
10007143,University of Durham,England,North East,2016/17,Non-software,SMEs,27
10007143,University of Durham,England,North East,2016/17,Non-software,Other (non-SME) commercial businesses,22
10007143,University of Durham,England,North East,2016/17,Non-software,Non-commercial organisations,16
10007143,University of Durham,England,North East,2016/17,Non-software,Total number - Subtotal overseas,0
10007143,University of Durham,England,North East,2016/17,Non-software,Total number generating income in the period,5
10007143,University of Durham,England,North East,2016/17,Non-software,Total number generating income in the period - Subtotal overseas,0
10007143,University of Durham,England,North East,2016/17,Non-software,Total number,65
10007143,University of Durham,England,North East,2016/17,Software only,SMEs,6
10007143,University of Durham,England,North East,2016/17,Software only,Other (non-SME) commercial businesses,6
10007143,University of Durham,England,North East,2016/17,Software only,Non-commercial organisations,1
10007143,University of Durham,England,North East,2016/17,Software only,Total number - Subtotal overseas,0
10007143,University of Durham,England,North East,2016/17,Software only,Total number generating income in the period,0
10007143,University of Durham,England,North East,2016/17,Software only,Total number generating income in the period - Subtotal overseas,0
10007143,University of Durham,England,North East,2016/17,Software only,Total number,13
10007143,University of Durham,England,North East,2017/18,Non-software,SMEs,33
10007143,University of Durham,England,North East,2017/18,Non-software,Other (non-SME) commercial businesses,23
10007143,University of Durham,England,North East,2017/18,Non-software,Non-commercial organisations,17
10007143,University of Durham,England,North East,2017/18,Non-software,Total number - Subtotal overseas,0
10007143,University of Durham,England,North East,2017/18,Non-software,Total number generating income in the period,0
10007143,University of Durham,England,North East,2017/18,Non-software,Total number generating income in the period - Subtotal overseas,0
10007143,University of Durham,England,North East,2017/18,Non-software,Total number,73
10007143,University of Durham,England,North East,2017/18,Software only,SMEs,6
10007143,University of Durham,England,North East,2017/18,Software only,Other (non-SME) commercial businesses,6
10007143,University of Durham,England,North East,2017/18,Software only,Non-commercial organisations,1
10007143,University of Durham,England,North East,2017/18,Software only,Total number - Subtotal overseas,0
10007143,University of Durham,England,North East,2017/18,Software only,Total number generating income in the period,0
10007143,University of Durham,England,North East,2017/18,Software only,Total number generating income in the period - Subtotal overseas,0
10007143,University of Durham,England,North East,2017/18,Software only,Total number,13
10007143,University of Durham,England,North East,2018/19,Non-software,SMEs,43
10007143,University of Durham,England,North East,2018/19,Non-software,Other (non-SME) commercial businesses,14
10007143,University of Durham,England,North East,2018/19,Non-software,Non-commercial organisations,14
10007143,University of Durham,England,North East,2018/19,Non-software,Total number - Subtotal overseas,0
10007143,University of Durham,England,North East,2018/19,Non-software,Total number generating income in the period,4
10007143,University of Durham,England,North East,2018/19,Non-software,Total number generating income in the period - Subtotal overseas,0
