UKPRN,HE Provider,Country of HE provider,Region of HE provider,Academic Year,Income source,Type of organisation,Unit,Value
10007143,University of Durham,England,North East,2014/15,Non-software licences income,Non-commercial organisations,£000s,16.0
10007143,University of Durham,England,North East,2014/15,Non-software licences income,Other (non-SME) commercial businesses,£000s,3.0
10007143,University of Durham,England,North East,2014/15,Non-software licences income,SME,£000s,87.0
10007143,University of Durham,England,North East,2014/15,Other IP income,Non-commercial organisations,£000s,0.0
10007143,University of Durham,England,North East,2014/15,Other IP income,Other (non-SME) commercial businesses,£000s,0.0
10007143,University of Durham,England,North East,2014/15,Other IP income,SME,£000s,64.0
10007143,University of Durham,England,North East,2014/15,Software licences income,Non-commercial organisations,£000s,0.0
10007143,University of Durham,England,North East,2014/15,Software licences income,Other (non-SME) commercial businesses,£000s,0.0
10007143,University of Durham,England,North East,2014/15,Software licences income,SME,£000s,0.0
10007143,University of Durham,England,North East,2015/16,Non-software licences income,Non-commercial organisations,£000s,4.0
10007143,University of Durham,England,North East,2015/16,Non-software licences income,Other (non-SME) commercial businesses,£000s,33.0
10007143,University of Durham,England,North East,2015/16,Non-software licences income,SME,£000s,21.0
10007143,University of Durham,England,North East,2015/16,Other IP income,Non-commercial organisations,£000s,0.0
10007143,University of Durham,England,North East,2015/16,Other IP income,Other (non-SME) commercial businesses,£000s,0.0
10007143,University of Durham,England,North East,2015/16,Other IP income,SME,£000s,0.0
10007143,University of Durham,England,North East,2015/16,Software licences income,Non-commercial organisations,£000s,0.0
10007143,University of Durham,England,North East,2015/16,Software licences income,Other (non-SME) commercial businesses,£000s,0.0
10007143,University of Durham,England,North East,2015/16,Software licences income,SME,£000s,0.0
10007143,University of Durham,England,North East,2016/17,Non-software licences income,Non-commercial organisations,£000s,0.0
10007143,University of Durham,England,North East,2016/17,Non-software licences income,Other (non-SME) commercial businesses,£000s,66.0
10007143,University of Durham,England,North East,2016/17,Non-software licences income,SME,£000s,43.0
10007143,University of Durham,England,North East,2016/17,Other IP income,Non-commercial organisations,£000s,0.0
10007143,University of Durham,England,North East,2016/17,Other IP income,Other (non-SME) commercial businesses,£000s,14.0
10007143,University of Durham,England,North East,2016/17,Other IP income,SME,£000s,0.0
10007143,University of Durham,England,North East,2016/17,Software licences income,Non-commercial organisations,£000s,0.0
10007143,University of Durham,England,North East,2016/17,Software licences income,Other (non-SME) commercial businesses,£000s,0.0
10007143,University of Durham,England,North East,2016/17,Software licences income,SME,£000s,0.0
10007143,University of Durham,England,North East,2017/18,Non-software licences income,Non-commercial organisations,£000s,0.0
10007143,University of Durham,England,North East,2017/18,Non-software licences income,Other (non-SME) commercial businesses,£000s,0.0
10007143,University of Durham,England,North East,2017/18,Non-software licences income,SME,£000s,0.0
10007143,University of Durham,England,North East,2017/18,Other IP income,Non-commercial organisations,£000s,0.0
10007143,University of Durham,England,North East,2017/18,Other IP income,Other (non-SME) commercial businesses,£000s,14.0
10007143,University of Durham,England,North East,2017/18,Other IP income,SME,£000s,0.0
10007143,University of Durham,England,North East,2017/18,Software licences income,Non-commercial organisations,£000s,0.0
10007143,University of Durham,England,North East,2017/18,Software licences income,Other (non-SME) commercial businesses,£000s,0.0
10007143,University of Durham,England,North East,2017/18,Software licences income,SME,£000s,0.0
10007143,University of Durham,England,North East,2018/19,Non-software licences income,Non-commercial organisations,£000s,0.0
10007143,University of Durham,England,North East,2018/19,Non-software licences income,Other (non-SME) commercial businesses,£000s,0.0
10007143,University of Durham,England,North East,2018/19,Non-software licences income,SME,£000s,16.0
10007143,University of Durham,England,North East,2018/19,Other IP income,Non-commercial organisations,£000s,35.0
10007143,University of Durham,England,North East,2018/19,Other IP income,Other (non-SME) commercial businesses,£000s,0.0
10007143,University of Durham,England,North East,2018/19,Other IP income,SME,£000s,0.0
10007143,University of Durham,England,North East,2018/19,Software licences income,Non-commercial organisations,£000s,0.0
10007143,University of Durham,England,North East,2018/19,Software licences income,Other (non-SME) commercial businesses,£000s,0.0
10007143,University of Durham,England,North East,2018/19,Software licences income,SME,£000s,0.0
10007143,University of Durham,England,North East,2019/20,Non-software licences income,Non-commercial organisations,£000s,0.0
10007143,University of Durham,England,North East,2019/20,Non-software licences income,Other (non-SME) commercial businesses,£000s,0.0
10007143,University of Durham,England,North East,2019/20,Non-software licences income,SME,£000s,23.0
10007143,University of Durham,England,North East,2019/20,Other IP income,Non-commercial organisations,£000s,0.0
10007143,University of Durham,England,North East,2019/20,Other IP income,Other (non-SME) commercial businesses,£000s,0.0
10007143,University of Durham,England,North East,2019/20,Other IP income,SME,£000s,0.0
10007143,University of Durham,England,North East,2019/20,Software licences income,Non-commercial organisations,£000s,0.0
10007143,University of Durham,England,North East,2019/20,Software licences income,Other (non-SME) commercial businesses,£000s,0.0
10007143,University of Durham,England,North East,2019/20,Software licences income,SME,£000s,0.0
10007143,University of Durham,England,North East,2020/21,Non-software licences income,Non-commercial organisations,£000s,0.0
10007143,University of Durham,England,North East,2020/21,Non-software licences income,Other (non-SME) commercial businesses,£000s,1.0
10007143,University of Durham,England,North East,2020/21,Non-software licences income,SME,£000s,5.0
