UKPRN,HE Provider,Country of HE provider,Region of HE provider,Academic Year,Category Marker,Unit,Value
10007143,University of Durham,England,North East,2014/15,Subtotal IP income,£000s,170.0
10007143,University of Durham,England,North East,2014/15,Subtotal overseas,£000s,89.0
10007143,University of Durham,England,North East,2014/15,Sale of shares in spin-outs,£000s,0.0
10007143,University of Durham,England,North East,2014/15,Total IP revenues,£000s,170.0
10007143,University of Durham,England,North East,2014/15,Total costs,£000s,311.0
10007143,University of Durham,England,North East,2015/16,Subtotal IP income,£000s,58.0
10007143,University of Durham,England,North East,2015/16,Subtotal overseas,£000s,0.0
10007143,University of Durham,England,North East,2015/16,Sale of shares in spin-outs,£000s,0.0
10007143,University of Durham,England,North East,2015/16,Total IP revenues,£000s,58.0
10007143,University of Durham,England,North East,2015/16,Total costs,£000s,375.0
10007143,University of Durham,England,North East,2016/17,Subtotal IP income,£000s,123.0
10007143,University of Durham,England,North East,2016/17,Subtotal overseas,£000s,0.0
10007143,University of Durham,England,North East,2016/17,Sale of shares in spin-outs,£000s,0.0
10007143,University of Durham,England,North East,2016/17,Total IP revenues,£000s,123.0
10007143,University of Durham,England,North East,2016/17,Total costs,£000s,428.0
10007143,University of Durham,England,North East,2017/18,Subtotal IP income,£000s,14.0
10007143,University of Durham,England,North East,2017/18,Subtotal overseas,£000s,0.0
10007143,University of Durham,England,North East,2017/18,Sale of shares in spin-outs,£000s,811.0
10007143,University of Durham,England,North East,2017/18,Total IP revenues,£000s,825.0
10007143,University of Durham,England,North East,2017/18,Total costs,£000s,322.0
10007143,University of Durham,England,North East,2018/19,Subtotal IP income,£000s,51.0
10007143,University of Durham,England,North East,2018/19,Subtotal overseas,£000s,0.0
10007143,University of Durham,England,North East,2018/19,Sale of shares in spin-outs,£000s,5150.0
10007143,University of Durham,England,North East,2018/19,Total IP revenues,£000s,5201.0
10007143,University of Durham,England,North East,2018/19,Total costs,£000s,379.0
10007143,University of Durham,England,North East,2019/20,Subtotal IP income,£000s,23.0
10007143,University of Durham,England,North East,2019/20,Subtotal overseas,£000s,0.0
10007143,University of Durham,England,North East,2019/20,Sale of shares in spin-outs,£000s,0.0
10007143,University of Durham,England,North East,2019/20,Total IP revenues,£000s,23.0
10007143,University of Durham,England,North East,2019/20,Total costs,£000s,399.0
10007143,University of Durham,England,North East,2020/21,Subtotal IP income,£000s,33.0
10007143,University of Durham,England,North East,2020/21,Subtotal overseas,£000s,0.0
10007143,University of Durham,England,North East,2020/21,Sale of shares in spin-outs,£000s,0.0
10007143,University of Durham,England,North East,2020/21,Total IP revenues,£000s,33.0
10007143,University of Durham,England,North East,2020/21,Total costs,£000s,455.0
10007143,University of Durham,England,North East,2021/22,Subtotal IP income,£000s,69.0
