UKPRN,HE Provider,Country of HE provider,Region of HE provider,Academic Year,Metric,Category Marker,Value
10007143,University of Durham,England,North East,2014/15,Estimated current employment of all active firms (FTE),Spin-outs with some HE provider ownership,251.0
10007143,University of Durham,England,North East,2014/15,Estimated current employment of all active firms (FTE),Other spin-outs,193.0
10007143,University of Durham,England,North East,2014/15,Estimated current employment of all active firms (FTE),Staff start-ups,0.0
10007143,University of Durham,England,North East,2014/15,Estimated current employment of all active firms (FTE),Student start-ups,0.0
10007143,University of Durham,England,North East,2014/15,Estimated current employment of all active firms (FTE),Social enterprises,0.0
10007143,University of Durham,England,North East,2014/15,Estimated current turnover of all active firms (£ thousands),Spin-outs with some HE provider ownership,12937.0
10007143,University of Durham,England,North East,2014/15,Estimated current turnover of all active firms (£ thousands),Other spin-outs,24041.0
10007143,University of Durham,England,North East,2014/15,Estimated current turnover of all active firms (£ thousands),Staff start-ups,0.0
10007143,University of Durham,England,North East,2014/15,Estimated current turnover of all active firms (£ thousands),Student start-ups,0.0
10007143,University of Durham,England,North East,2014/15,Estimated current turnover of all active firms (£ thousands),Social enterprises,0.0
10007143,University of Durham,England,North East,2014/15,Estimated external investment received (£ thousands),Spin-outs with some HE provider ownership,21000.0
10007143,University of Durham,England,North East,2014/15,Estimated external investment received (£ thousands),Other spin-outs,0.0
10007143,University of Durham,England,North East,2014/15,Estimated external investment received (£ thousands),Staff start-ups,0.0
10007143,University of Durham,England,North East,2014/15,Estimated external investment received (£ thousands),Student start-ups,12.0
10007143,University of Durham,England,North East,2014/15,Estimated external investment received (£ thousands),Social enterprises,0.0
10007143,University of Durham,England,North East,2014/15,Number (of newly registered companies within the reporting period),Spin-outs with some HE provider ownership,0.0
10007143,University of Durham,England,North East,2014/15,Number (of newly registered companies within the reporting period),Other spin-outs,0.0
10007143,University of Durham,England,North East,2014/15,Number (of newly registered companies within the reporting period),Staff start-ups,0.0
10007143,University of Durham,England,North East,2014/15,Number (of newly registered companies within the reporting period),Student start-ups,9.0
10007143,University of Durham,England,North East,2014/15,Number (of newly registered companies within the reporting period),Social enterprises,0.0
10007143,University of Durham,England,North East,2014/15,Number of active firms,Spin-outs with some HE provider ownership,23.0
10007143,University of Durham,England,North East,2014/15,Number of active firms,Other spin-outs,2.0
10007143,University of Durham,England,North East,2014/15,Number of active firms,Staff start-ups,2.0
10007143,University of Durham,England,North East,2014/15,Number of active firms,Student start-ups,20.0
10007143,University of Durham,England,North East,2014/15,Number of active firms,Social enterprises,0.0
10007143,University of Durham,England,North East,2014/15,Number still active which have survived at least 3 years,Spin-outs with some HE provider ownership,20.0
10007143,University of Durham,England,North East,2014/15,Number still active which have survived at least 3 years,Other spin-outs,2.0
10007143,University of Durham,England,North East,2014/15,Number still active which have survived at least 3 years,Staff start-ups,2.0
10007143,University of Durham,England,North East,2014/15,Number still active which have survived at least 3 years,Student start-ups,5.0
10007143,University of Durham,England,North East,2014/15,Number still active which have survived at least 3 years,Social enterprises,0.0
10007143,University of Durham,England,North East,2015/16,Estimated current employment of all active firms (FTE),Spin-outs with some HE provider ownership,226.0
10007143,University of Durham,England,North East,2015/16,Estimated current employment of all active firms (FTE),Other spin-outs,249.0
10007143,University of Durham,England,North East,2015/16,Estimated current employment of all active firms (FTE),Staff start-ups,0.0
10007143,University of Durham,England,North East,2015/16,Estimated current employment of all active firms (FTE),Student start-ups,0.0
10007143,University of Durham,England,North East,2015/16,Estimated current employment of all active firms (FTE),Social enterprises,0.0
10007143,University of Durham,England,North East,2015/16,Estimated current turnover of all active firms (£ thousands),Spin-outs with some HE provider ownership,22574.0
10007143,University of Durham,England,North East,2015/16,Estimated current turnover of all active firms (£ thousands),Other spin-outs,43569.0
10007143,University of Durham,England,North East,2015/16,Estimated current turnover of all active firms (£ thousands),Staff start-ups,0.0
10007143,University of Durham,England,North East,2015/16,Estimated current turnover of all active firms (£ thousands),Student start-ups,0.0
10007143,University of Durham,England,North East,2015/16,Estimated current turnover of all active firms (£ thousands),Social enterprises,0.0
10007143,University of Durham,England,North East,2015/16,Estimated external investment received (£ thousands),Spin-outs with some HE provider ownership,10875.0
10007143,University of Durham,England,North East,2015/16,Estimated external investment received (£ thousands),Other spin-outs,0.0
10007143,University of Durham,England,North East,2015/16,Estimated external investment received (£ thousands),Staff start-ups,0.0
10007143,University of Durham,England,North East,2015/16,Estimated external investment received (£ thousands),Student start-ups,24.0
10007143,University of Durham,England,North East,2015/16,Estimated external investment received (£ thousands),Social enterprises,0.0
10007143,University of Durham,England,North East,2015/16,Number (of newly registered companies within the reporting period),Spin-outs with some HE provider ownership,2.0
10007143,University of Durham,England,North East,2015/16,Number (of newly registered companies within the reporting period),Other spin-outs,0.0
10007143,University of Durham,England,North East,2015/16,Number (of newly registered companies within the reporting period),Staff start-ups,0.0
10007143,University of Durham,England,North East,2015/16,Number (of newly registered companies within the reporting period),Student start-ups,9.0
10007143,University of Durham,England,North East,2015/16,Number (of newly registered companies within the reporting period),Social enterprises,0.0
10007143,University of Durham,England,North East,2015/16,Number of active firms,Spin-outs with some HE provider ownership,17.0
10007143,University of Durham,England,North East,2015/16,Number of active firms,Other spin-outs,6.0
10007143,University of Durham,England,North East,2015/16,Number of active firms,Staff start-ups,2.0
10007143,University of Durham,England,North East,2015/16,Number of active firms,Student start-ups,19.0
10007143,University of Durham,England,North East,2015/16,Number of active firms,Social enterprises,0.0
10007143,University of Durham,England,North East,2015/16,Number still active which have survived at least 3 years,Spin-outs with some HE provider ownership,15.0
10007143,University of Durham,England,North East,2015/16,Number still active which have survived at least 3 years,Other spin-outs,6.0
10007143,University of Durham,England,North East,2015/16,Number still active which have survived at least 3 years,Staff start-ups,2.0
10007143,University of Durham,England,North East,2015/16,Number still active which have survived at least 3 years,Student start-ups,6.0
10007143,University of Durham,England,North East,2015/16,Number still active which have survived at least 3 years,Social enterprises,0.0
10007143,University of Durham,England,North East,2016/17,Estimated current employment of all active firms (FTE),Spin-outs with some HE provider ownership,262.0
