UKPRN,HE Provider,Country of HE provider,Region of HE provider,Academic Year,Nature of Event,Metric,Type of event,Value
10007143,University of Durham,England,North East,2014/15,Chargeable events,Academic staff time (days),Public lectures,135
10007143,University of Durham,England,North East,2014/15,Chargeable events,Academic staff time (days),"Performance arts (music, dance, drama etc.)",31
10007143,University of Durham,England,North East,2014/15,Chargeable events,Academic staff time (days),"Exhibitions (galleries, museums etc.)",541
10007143,University of Durham,England,North East,2014/15,Chargeable events,Academic staff time (days),Museum education,87
10007143,University of Durham,England,North East,2014/15,Chargeable events,Academic staff time (days),Other,312
10007143,University of Durham,England,North East,2014/15,Chargeable events,Attendees,Public lectures,8446
10007143,University of Durham,England,North East,2014/15,Chargeable events,Attendees,"Performance arts (music, dance, drama etc.)",16224
10007143,University of Durham,England,North East,2014/15,Chargeable events,Attendees,"Exhibitions (galleries, museums etc.)",108058
10007143,University of Durham,England,North East,2014/15,Chargeable events,Attendees,Museum education,13240
10007143,University of Durham,England,North East,2014/15,Chargeable events,Attendees,Other,18090
10007143,University of Durham,England,North East,2014/15,Free events,Academic staff time (days),Public lectures,673
10007143,University of Durham,England,North East,2014/15,Free events,Academic staff time (days),"Performance arts (music, dance, drama etc.)",5
10007143,University of Durham,England,North East,2014/15,Free events,Academic staff time (days),"Exhibitions (galleries, museums etc.)",67
10007143,University of Durham,England,North East,2014/15,Free events,Academic staff time (days),Museum education,174
10007143,University of Durham,England,North East,2014/15,Free events,Academic staff time (days),Other,552
10007143,University of Durham,England,North East,2014/15,Free events,Attendees,Public lectures,48864
10007143,University of Durham,England,North East,2014/15,Free events,Attendees,"Performance arts (music, dance, drama etc.)",532
10007143,University of Durham,England,North East,2014/15,Free events,Attendees,"Exhibitions (galleries, museums etc.)",2755
10007143,University of Durham,England,North East,2014/15,Free events,Attendees,Museum education,12698
10007143,University of Durham,England,North East,2014/15,Free events,Attendees,Other,45284
10007143,University of Durham,England,North East,2015/16,Chargeable events,Academic staff time (days),Public lectures,73
10007143,University of Durham,England,North East,2015/16,Chargeable events,Academic staff time (days),"Performance arts (music, dance, drama etc.)",24
10007143,University of Durham,England,North East,2015/16,Chargeable events,Academic staff time (days),"Exhibitions (galleries, museums etc.)",209
10007143,University of Durham,England,North East,2015/16,Chargeable events,Academic staff time (days),Museum education,1176
10007143,University of Durham,England,North East,2015/16,Chargeable events,Academic staff time (days),Other,447
10007143,University of Durham,England,North East,2015/16,Chargeable events,Attendees,Public lectures,7308
10007143,University of Durham,England,North East,2015/16,Chargeable events,Attendees,"Performance arts (music, dance, drama etc.)",19501
10007143,University of Durham,England,North East,2015/16,Chargeable events,Attendees,"Exhibitions (galleries, museums etc.)",85519
10007143,University of Durham,England,North East,2015/16,Chargeable events,Attendees,Museum education,30294
10007143,University of Durham,England,North East,2015/16,Chargeable events,Attendees,Other,7674
10007143,University of Durham,England,North East,2015/16,Free events,Academic staff time (days),Public lectures,567
10007143,University of Durham,England,North East,2015/16,Free events,Academic staff time (days),"Performance arts (music, dance, drama etc.)",17
10007143,University of Durham,England,North East,2015/16,Free events,Academic staff time (days),"Exhibitions (galleries, museums etc.)",120
10007143,University of Durham,England,North East,2015/16,Free events,Academic staff time (days),Museum education,692
10007143,University of Durham,England,North East,2015/16,Free events,Academic staff time (days),Other,1285
10007143,University of Durham,England,North East,2015/16,Free events,Attendees,Public lectures,41561
10007143,University of Durham,England,North East,2015/16,Free events,Attendees,"Performance arts (music, dance, drama etc.)",3267
10007143,University of Durham,England,North East,2015/16,Free events,Attendees,"Exhibitions (galleries, museums etc.)",261022
10007143,University of Durham,England,North East,2015/16,Free events,Attendees,Museum education,150697
10007143,University of Durham,England,North East,2015/16,Free events,Attendees,Other,38429
10007143,University of Durham,England,North East,2016/17,Chargeable events,Academic staff time (days),Public lectures,177
10007143,University of Durham,England,North East,2016/17,Chargeable events,Academic staff time (days),"Performance arts (music, dance, drama etc.)",41
10007143,University of Durham,England,North East,2016/17,Chargeable events,Academic staff time (days),"Exhibitions (galleries, museums etc.)",184
10007143,University of Durham,England,North East,2016/17,Chargeable events,Academic staff time (days),Museum education,125
10007143,University of Durham,England,North East,2016/17,Chargeable events,Academic staff time (days),Other,45
10007143,University of Durham,England,North East,2016/17,Chargeable events,Attendees,Public lectures,5326
10007143,University of Durham,England,North East,2016/17,Chargeable events,Attendees,"Performance arts (music, dance, drama etc.)",23742
10007143,University of Durham,England,North East,2016/17,Chargeable events,Attendees,"Exhibitions (galleries, museums etc.)",69725
10007143,University of Durham,England,North East,2016/17,Chargeable events,Attendees,Museum education,32679
10007143,University of Durham,England,North East,2016/17,Chargeable events,Attendees,Other,4465
10007143,University of Durham,England,North East,2016/17,Free events,Academic staff time (days),Public lectures,272
10007143,University of Durham,England,North East,2016/17,Free events,Academic staff time (days),"Performance arts (music, dance, drama etc.)",40
10007143,University of Durham,England,North East,2016/17,Free events,Academic staff time (days),"Exhibitions (galleries, museums etc.)",393
10007143,University of Durham,England,North East,2016/17,Free events,Academic staff time (days),Museum education,13
10007143,University of Durham,England,North East,2016/17,Free events,Academic staff time (days),Other,603
10007143,University of Durham,England,North East,2016/17,Free events,Attendees,Public lectures,16884
10007143,University of Durham,England,North East,2016/17,Free events,Attendees,"Performance arts (music, dance, drama etc.)",301
10007143,University of Durham,England,North East,2016/17,Free events,Attendees,"Exhibitions (galleries, museums etc.)",207023
10007143,University of Durham,England,North East,2016/17,Free events,Attendees,Museum education,379
10007143,University of Durham,England,North East,2016/17,Free events,Attendees,Other,22636
10007143,University of Durham,England,North East,2017/18,Chargeable events,Academic staff time (days),Public lectures,70
10007143,University of Durham,England,North East,2017/18,Chargeable events,Academic staff time (days),"Performance arts (music, dance, drama etc.)",8
10007143,University of Durham,England,North East,2017/18,Chargeable events,Academic staff time (days),"Exhibitions (galleries, museums etc.)",145
10007143,University of Durham,England,North East,2017/18,Chargeable events,Academic staff time (days),Museum education,6
10007143,University of Durham,England,North East,2017/18,Chargeable events,Academic staff time (days),Other,55
10007143,University of Durham,England,North East,2017/18,Chargeable events,Attendees,Public lectures,6577
10007143,University of Durham,England,North East,2017/18,Chargeable events,Attendees,"Performance arts (music, dance, drama etc.)",23474
10007143,University of Durham,England,North East,2017/18,Chargeable events,Attendees,"Exhibitions (galleries, museums etc.)",31420
